model,mode,episodes,collision_rate,arrival_rate,near_miss_rate,mean_min_distance,mean_steps,mean_reward,mean_final_aoi,mean_final_pdr,mean_v2v_rx,act_hard_brake_pct,act_brake_pct,act_hold_pct,act_accel_pct,act_full_accel_pct,train_model,eval_mode,pdr_scale
runs/sumo_ppo_50k_lossy.zip,lossy_v2v,100,0.0,1.0,0.0,25.712403252135687,119.09,32.91106458847028,0.098,0.5076542103340664,52.85,0.0,0.21378789151062222,0.0,0.7862121084893778,0.0,lossy_v2v,lossy_v2v,1.0
runs/sumo_ppo_50k_lossy.zip,lossy_v2v,100,0.0,1.0,0.0,25.19157486086489,118.89,38.72332792529217,0.28,0.254418577388256,26.12,0.0,0.21675498359828413,0.0,0.7832450164017158,0.0,lossy_v2v,lossy_v2v,0.5
runs/sumo_ppo_50k_lossy.zip,lossy_v2v,100,0.03,0.97,0.03,23.03226945971177,116.44,48.66242417253203,0.725,0.13174634465351118,12.17,0.0,0.2273273789075919,0.0,0.7726726210924081,0.0,lossy_v2v,lossy_v2v,0.25
runs/sumo_ppo_50k_lossy.zip,lossy_v2v,100,0.06,0.94,0.13,18.588832822091575,111.47,65.71132625336446,1.1560000000000001,0.05665179371779887,4.68,0.0,0.2338745850901588,0.0,0.7661254149098412,0.0,lossy_v2v,lossy_v2v,0.1
