model,mode,episodes,sensor_range,pdr_scale,nlos_blocker,multi_npc,collision_rate,arrival_rate,near_miss_rate,mean_min_distance,mean_steps,mean_reward,mean_final_aoi,mean_final_pdr,mean_v2v_rx,occluded_step_frac,sensor_visible_step_frac,act_hard_brake_pct,act_brake_pct,act_hold_pct,act_accel_pct,act_full_accel_pct,train_model,eval_mode,scenario
runs/sumo_ppo_50k_multi_perfect.zip,perfect_v2v,100,35.0,1.0,0,1,0.0,1.0,0.0,24.883743725026033,123.53,36.93708455149729,0.0,0.47807823009764916,0.0,0.0,0.21355136404112363,0.0,0.33756982109609,0.0,0.0,0.66243017890391,perfect_v2v,perfect_v2v,multi_npc
runs/sumo_ppo_50k_multi_sensor.zip,sensor_only,100,35.0,1.0,0,1,0.15,0.85,0.47,9.010128259644512,140.51,48.74642354532891,1.0,0.31906311001435533,0.0,0.0,0.33556330510283966,0.12824709985054444,0.07195217422247527,0.0,0.7998007259269803,0.0,sensor_only,sensor_only,multi_npc
runs/sumo_ppo_50k_multi_lossy.zip,lossy_v2v,100,35.0,1.0,0,1,0.0,1.0,0.0,23.021083532814508,123.02,61.97692243828237,0.098,0.4813119210634521,54.25,0.0,0.25524304991058366,0.0,0.3481547715818566,0.0,0.0,0.6518452284181434,lossy_v2v,lossy_v2v,multi_npc
