train_model,eval_mode,model,mode,episodes,collision_rate,arrival_rate,near_miss_rate,mean_min_distance,mean_steps,mean_reward,mean_final_aoi,mean_final_pdr,mean_v2v_rx,act_hard_brake_pct,act_brake_pct,act_hold_pct,act_accel_pct,act_full_accel_pct,pdr_scale
perfect_v2v,perfect_v2v,runs/simple_ppo_50k_v3.zip,perfect_v2v,200,0.0,1.0,0.0,22.231764913745334,110.575,55.81499523099523,0.0,0.5274202772177762,0.0,0.0,0.3044992086818901,0.0,0.0,0.6955007913181099,1.0
perfect_v2v,lossy_v2v,runs/simple_ppo_50k_v3.zip,lossy_v2v,200,0.0,1.0,0.0,21.487780490377077,109.93,58.41233070156497,0.09300000000000001,0.5307131871074183,45.785,0.0,0.30874192668061495,0.0,0.0,0.691258073319385,1.0
perfect_v2v,sensor_only,runs/simple_ppo_50k_v3.zip,sensor_only,200,0.47,0.53,0.695,6.834641386078881,70.845,-18.627024018400988,1.0,0.8003384436253705,0.0,0.0,0.2315618603994636,0.0,0.0,0.7684381396005364,1.0
lossy_v2v,perfect_v2v,runs/simple_ppo_lossy_50k_stage3.zip,perfect_v2v,200,0.0,1.0,0.0,22.681859868125294,111.18,75.50197060916481,0.0,0.5241626850273368,0.0,0.0,0.09273250584637524,0.4316873538406188,0.0,0.47558014031300594,1.0
lossy_v2v,lossy_v2v,runs/simple_ppo_lossy_50k_stage3.zip,lossy_v2v,200,0.0,1.0,0.0,22.65070389554408,111.32,76.85531558960737,0.1065,0.5229705213115315,46.685,0.0,0.12800934243621992,0.3695203018325548,0.0,0.5024703557312253,1.0
lossy_v2v,sensor_only,runs/simple_ppo_lossy_50k_stage3.zip,sensor_only,200,0.47,0.53,0.695,6.834641386078881,70.845,-18.627024018400988,1.0,0.8003384436253705,0.0,0.0,0.2315618603994636,0.0,0.0,0.7684381396005364,1.0
sensor_only,perfect_v2v,runs/simple_ppo_sensor_50k_v3.zip,perfect_v2v,200,0.0,0.0,0.0,53.91064759543075,700.0,-663.6414170993008,0.0,0.0,0.0,0.0,0.9786071428571429,0.0,0.021392857142857144,0.0,1.0
sensor_only,lossy_v2v,runs/simple_ppo_sensor_50k_v3.zip,lossy_v2v,200,0.0,1.0,0.0,49.49489464157272,261.85,-55.1361164587629,2.0,0.0,82.97,0.0,0.5525109795684552,0.0,0.44748902043154476,0.0,1.0
sensor_only,sensor_only,runs/simple_ppo_sensor_50k_v3.zip,sensor_only,200,0.455,0.545,0.69,6.880305347858511,83.43,-13.997515591777693,1.0,0.6963382394063017,0.0,0.0,0.2630948100203764,0.0,0.7369051899796236,0.0,1.0
