pdr_scale,collision_rate,arrival_rate,near_miss_rate,mean_final_aoi,mean_v2v_rx,mean_reward
1.0,0.0,1.0,0.0,0.098,52.85,32.91106458847028
0.5,0.0,1.0,0.0,0.28,26.12,38.72332792529217
0.25,0.03,0.97,0.03,0.725,12.17,48.66242417253203
0.1,0.06,0.94,0.13,1.1560000000000001,4.68,65.71132625336446
