mode,policy,episode,steps,collision,arrived,near_miss,min_distance,reward
perfect_v2v,random,0,700,0,0,0,37.40479436415662,-514.5537761089644
perfect_v2v,random,1,700,0,0,0,28.241553350510127,-484.8172986782736
perfect_v2v,random,2,66,1,0,1,3.86536306872639,-152.45771402822842
perfect_v2v,random,3,700,0,0,0,25.66666161658652,-523.3677279595646
perfect_v2v,random,4,700,0,0,0,17.986105530800927,-545.2027061544906
perfect_v2v,random,5,700,0,0,0,36.35192823229115,-481.02812634399027
perfect_v2v,random,6,700,0,0,0,15.852931338796973,-569.1860439559433
perfect_v2v,random,7,700,0,0,0,40.44670854027654,-467.5867422617975
perfect_v2v,random,8,700,0,0,0,40.506873269770445,-502.0811612837352
perfect_v2v,random,9,700,0,0,0,20.205464138424787,-487.76374730938414
perfect_v2v,random,10,68,1,0,1,4.052263612169755,-128.25405970036664
perfect_v2v,random,11,163,0,1,0,11.26722406658118,-174.39075616854635
perfect_v2v,random,12,700,0,0,0,44.75328380696783,-489.39841473097016
perfect_v2v,random,13,193,0,1,0,20.071810820152983,-148.94008508761115
perfect_v2v,random,14,700,0,0,0,38.50847573848613,-478.8381473712318
perfect_v2v,random,15,700,0,0,0,24.9116059218522,-522.3936063667534
perfect_v2v,random,16,700,0,0,0,47.75256820209197,-499.36927908923275
perfect_v2v,random,17,68,1,0,1,3.6140829076351677,-211.1797278932724
perfect_v2v,random,18,700,0,0,0,29.60468927518866,-520.5474130707854
perfect_v2v,random,19,700,0,0,0,38.15942765838814,-473.52153599005163
perfect_v2v,random,20,700,0,0,0,35.57962038888611,-524.2119140361472
perfect_v2v,random,21,59,1,0,1,4.325638349338119,-228.82195372654638
perfect_v2v,random,22,700,0,0,0,27.402770976731222,-523.4252115180795
perfect_v2v,random,23,700,0,0,0,28.675594864571444,-485.09541654558893
perfect_v2v,random,24,700,0,0,0,58.3578082124595,-483.97763095839855
perfect_v2v,random,25,700,0,0,0,37.52875774789547,-489.87009592074065
perfect_v2v,random,26,700,0,0,0,51.951239222075735,-474.2625092675947
perfect_v2v,random,27,700,0,0,0,16.014134047538768,-557.0126966968262
perfect_v2v,random,28,55,1,0,1,4.048297631016014,-266.2881692875868
perfect_v2v,random,29,700,0,0,0,50.11104300752846,-477.07453114141396
perfect_v2v,random,30,700,0,0,0,39.31612097858545,-517.8733808382201
perfect_v2v,random,31,700,0,0,0,11.174497184909187,-513.0235491059843
perfect_v2v,random,32,700,0,0,0,39.137493407790984,-486.8085984608752
perfect_v2v,random,33,700,0,0,0,18.679501324951797,-578.2636844870417
perfect_v2v,random,34,559,0,1,0,30.92607730978407,-314.4604142151093
perfect_v2v,random,35,133,0,1,1,5.0411326453571625,-153.6975903189825
perfect_v2v,random,36,700,0,0,0,35.30294441326011,-506.0198900966428
perfect_v2v,random,37,700,0,0,0,36.777534049048896,-514.4818874611008
perfect_v2v,random,38,700,0,0,0,41.367059812195805,-504.31803155626415
perfect_v2v,random,39,700,0,0,0,35.4102868120396,-530.1278194777527
perfect_v2v,random,40,700,0,0,0,19.185150125683524,-541.7377817512005
perfect_v2v,random,41,700,0,0,0,27.718469521842444,-508.7305764352724
perfect_v2v,random,42,700,0,0,0,16.01092174239228,-577.8728427197999
perfect_v2v,random,43,700,0,0,0,32.811387987757776,-520.0872935517622
perfect_v2v,random,44,700,0,0,0,51.12178056167472,-510.2444916998209
perfect_v2v,random,45,700,0,0,0,23.209759758055643,-545.3911134831962
perfect_v2v,random,46,700,0,0,0,17.13168626634575,-456.68702223945365
perfect_v2v,random,47,700,0,0,0,33.25189069265593,-518.2489822902519
perfect_v2v,random,48,700,0,0,0,21.467941550006366,-588.77941963525
perfect_v2v,random,49,313,0,1,0,19.374131936611462,-230.64058016385957
perfect_v2v,random,50,550,0,1,0,15.148774763641777,-422.08177351189363
perfect_v2v,random,51,700,0,0,0,15.583944079127482,-551.8803431289913
perfect_v2v,random,52,700,0,0,0,24.62474975423713,-503.03220345578285
perfect_v2v,random,53,700,0,0,0,27.876789219897198,-558.7871035320356
perfect_v2v,random,54,700,0,0,0,32.93407360553475,-477.93626865643006
perfect_v2v,random,55,700,0,0,0,31.53539432917602,-494.8802391859898
perfect_v2v,random,56,700,0,0,0,38.5983936413916,-472.9671113952204
perfect_v2v,random,57,700,0,0,0,22.839113234487687,-490.1387199649698
perfect_v2v,random,58,700,0,0,0,25.73177939219174,-535.403482618314
perfect_v2v,random,59,467,0,1,0,21.802514380454237,-346.32169595513676
perfect_v2v,random,60,700,0,0,0,16.207741817264754,-615.2976794120216
perfect_v2v,random,61,700,0,0,0,44.549927896038014,-487.7107945438651
perfect_v2v,random,62,112,0,1,0,10.052468081292524,-109.98646843019634
perfect_v2v,random,63,700,0,0,0,42.076788149698224,-481.24438551844344
perfect_v2v,random,64,700,0,0,0,38.95832123095368,-504.78445337675925
perfect_v2v,random,65,700,0,0,0,39.84294051627886,-486.871958130466
