mode,policy,episode,steps,collision,arrived,near_miss,min_distance,reward
perfect_v2v,random,146,587,0,1,0,14.439897886198343,-573.1202832217155
perfect_v2v,random,147,700,0,0,0,26.930467639491503,-708.8305141931601
perfect_v2v,random,148,700,0,0,0,41.72632405510311,-707.4611731550333
perfect_v2v,random,149,700,0,0,0,42.907119004871994,-710.9617643293253
perfect_v2v,random,150,700,0,0,0,38.615698093481505,-727.4045409872606
perfect_v2v,random,151,700,0,0,0,25.79349771016487,-737.2223371136671
perfect_v2v,random,152,700,0,0,0,51.803942959697565,-701.8775839726329
perfect_v2v,random,153,700,0,0,0,32.399581605106725,-700.8246353869175
perfect_v2v,random,154,700,0,0,0,28.0926045700876,-724.7787789262298
perfect_v2v,random,155,700,0,0,0,25.344911586549923,-752.6789468677705
perfect_v2v,random,156,700,0,0,0,44.5097394451734,-695.9769051839771
perfect_v2v,random,157,700,0,0,0,22.11377984681265,-766.3200584613566
perfect_v2v,random,158,94,0,1,1,5.798200202144507,-102.06006647527323
perfect_v2v,random,159,700,0,0,0,33.26756401401013,-697.6996100185982
perfect_v2v,random,160,349,0,1,0,17.38806566679265,-367.7619078787913
perfect_v2v,random,161,700,0,0,0,42.99782710983418,-698.8924714482218
perfect_v2v,random,162,700,0,0,0,49.810581050738406,-702.4927206839392
perfect_v2v,random,163,700,0,0,0,27.216111759181594,-680.7919961203545
perfect_v2v,random,164,700,0,0,0,59.21015412674509,-706.0357583020156
perfect_v2v,random,165,700,0,0,0,30.776142458765367,-722.8751534835679
perfect_v2v,random,166,700,0,0,0,25.55782205620566,-697.2565750455726
perfect_v2v,random,167,700,0,0,0,35.24725174961652,-693.2006504294402
perfect_v2v,random,168,700,0,0,0,11.410058678160187,-779.0228980462329
perfect_v2v,random,169,700,0,0,0,15.605405889764887,-779.3302463063343
perfect_v2v,random,170,700,0,0,0,47.74297564746915,-693.92121616918
perfect_v2v,random,171,700,0,0,0,29.516415092232553,-712.6089701576789
perfect_v2v,random,172,700,0,0,0,24.99649107585423,-725.8671803207794
perfect_v2v,random,173,700,0,0,0,27.317570649265473,-717.605037690277
perfect_v2v,random,174,174,0,1,0,18.805238773166014,-136.361152149523
perfect_v2v,random,175,700,0,0,0,53.816819447489145,-708.5524451825493
perfect_v2v,random,176,95,0,1,0,13.712898736602614,59.61400600856103
perfect_v2v,random,177,483,0,1,0,10.239527847249573,-538.2404233056366
perfect_v2v,random,178,458,0,1,0,12.912693193032302,-449.5402774150089
perfect_v2v,random,179,700,0,0,0,32.04501777007551,-711.9308015380383
perfect_v2v,random,180,700,0,0,0,13.915937941024936,-769.8844349248476
perfect_v2v,random,181,380,0,1,0,20.255748617835174,-375.9801312799195
perfect_v2v,random,182,700,0,0,0,27.38021851266546,-719.7709071246283
perfect_v2v,random,183,700,0,0,0,17.600826649705137,-774.305148984672
