mode,policy,episodes,collision_rate,arrival_rate,near_miss_rate,mean_min_distance,mean_reward
perfect_v2v,random,200,0.02,0.205,0.06,28.736968411190283,-622.5582286543352
perfect_v2v,hold,200,0.295,0.705,0.485,9.589604403210863,-91.97761428607522
perfect_v2v,full,200,0.365,0.635,0.62,8.009683555847323,-59.70565267280033
perfect_v2v,rule,200,0.0,1.0,0.0,27.480394299816442,27.1013519793953
sensor_only,random,200,0.055,0.135,0.075,28.724162781725063,-598.5441000547246
sensor_only,hold,200,0.295,0.705,0.485,9.589604403210863,-20.12511428607523
sensor_only,full,200,0.365,0.635,0.62,8.009683555847323,-17.704152672800316
sensor_only,rule,200,0.0,1.0,0.085,16.30804209858883,58.75727772296594
