mode,policy,episode,steps,collision,arrived,near_miss,min_distance,reward,v2v_rx_count,aoi
perfect_v2v,rule,26,137,0,1,0,30.08503202665325,15.249031546824895,0,0.0
perfect_v2v,rule,27,135,0,1,0,30.557254730906674,20.97116786887575,0,0.0
perfect_v2v,rule,28,134,0,1,0,33.94254034205174,28.40410156946195,0,0.0
perfect_v2v,rule,29,138,0,1,0,31.82375168138094,6.504541775409827,0,0.0
perfect_v2v,rule,30,132,0,1,0,31.76209164561174,15.724860576932215,0,0.0
perfect_v2v,rule,31,83,0,1,0,19.07939169033624,159.2945522469239,0,0.0
perfect_v2v,rule,32,135,0,1,0,32.991062474233466,9.277176376994213,0,0.0
perfect_v2v,rule,33,141,0,1,0,30.782391232188267,13.447455166477923,0,0.0
perfect_v2v,rule,34,128,0,1,0,36.11639114280564,23.10987123446665,0,0.0
perfect_v2v,rule,35,145,0,1,0,29.9827674726067,6.978541470200781,0,0.0
perfect_v2v,rule,36,146,0,1,0,29.47440457691758,4.958801262984174,0,0.0
perfect_v2v,rule,37,129,0,1,0,34.13853571776546,29.209743245246703,0,0.0
perfect_v2v,rule,38,148,0,1,0,28.986061423452682,7.214145986475259,0,0.0
perfect_v2v,rule,39,132,0,1,0,33.30173160536697,18.72999295731354,0,0.0
perfect_v2v,rule,40,139,0,1,0,31.49505324375244,22.901049526526755,0,0.0
perfect_v2v,rule,41,128,0,1,0,34.77909703593192,35.63258102473127,0,0.0
perfect_v2v,rule,42,84,0,1,0,13.393322658096455,161.30528984646295,0,0.0
perfect_v2v,rule,43,142,0,1,0,28.285983524404735,16.444872281992012,0,0.0
perfect_v2v,rule,44,142,0,1,0,29.674223751148073,6.727664673894417,0,0.0
perfect_v2v,rule,45,141,0,1,0,31.063236068137005,15.461167602937529,0,0.0
perfect_v2v,rule,46,83,0,1,0,11.95970945163433,159.29466900528112,0,0.0
perfect_v2v,rule,47,131,0,1,0,33.70397757925474,25.44384888931389,0,0.0
perfect_v2v,rule,48,135,0,1,0,32.24956807089108,15.970257115708137,0,0.0
perfect_v2v,rule,49,134,0,1,0,32.53360615331703,14.998492232698027,0,0.0
lossy_v2v,random,0,700,0,0,0,46.48392278200101,-527.5722545646976,82,2.0
lossy_v2v,random,1,207,0,1,0,26.462516107870808,-140.89858244725175,55,2.0
lossy_v2v,random,2,700,0,0,0,43.66983915521621,-499.7175067805871,97,2.0
lossy_v2v,random,3,700,0,0,0,34.321492275257846,-542.7080521594503,99,2.0
lossy_v2v,random,4,369,0,1,0,8.97605875520852,-175.08869253074906,58,2.0
lossy_v2v,random,5,700,0,0,0,50.05979981197736,-493.61340620365064,75,2.0
lossy_v2v,random,6,700,0,0,0,53.2805591128888,-463.22059820022935,80,2.0
lossy_v2v,random,7,700,0,0,0,43.58457090369645,-485.43912484868866,82,2.0
lossy_v2v,random,8,700,0,0,0,64.75860254298907,-501.10150157963835,70,2.0
lossy_v2v,random,9,700,0,0,0,26.58122071402847,-514.0662370316549,79,2.0
lossy_v2v,random,10,79,1,0,1,4.239196354230774,-195.74574591982983,26,2.0
lossy_v2v,random,11,700,0,0,0,36.24082402843388,-486.8035326053413,97,2.0
lossy_v2v,random,12,700,0,0,0,35.918168575753135,-538.2740472421837,75,2.0
lossy_v2v,random,13,368,0,1,0,21.66995555525498,-267.46822119051944,54,2.0
lossy_v2v,random,14,700,0,0,0,27.012605151118176,-539.4092755327572,76,2.0
lossy_v2v,random,15,464,0,1,0,19.097838010379693,-357.4919668594702,57,2.0
lossy_v2v,random,16,700,0,0,0,18.370346604594957,-586.0133701867325,58,2.0
lossy_v2v,random,17,700,0,0,0,28.867869700296968,-472.3578372249901,99,2.0
lossy_v2v,random,18,700,0,0,0,52.666961840510496,-500.8981798707772,70,2.0
lossy_v2v,random,19,700,0,0,0,49.214501470907265,-475.42858108570874,72,2.0
lossy_v2v,random,20,700,0,0,0,21.083122893825358,-572.6420956968473,75,2.0
lossy_v2v,random,21,700,0,0,0,23.194469459496275,-547.7530487242402,68,2.0
lossy_v2v,random,22,700,0,0,0,55.882222990397686,-497.61225189826325,91,2.0
lossy_v2v,random,23,698,0,1,0,21.75373283263673,-487.2676277577174,59,2.0
lossy_v2v,random,24,700,0,0,0,25.18565079798806,-566.9538219167976,73,2.0
lossy_v2v,random,25,700,0,0,0,31.367567507313115,-479.40004024519936,102,2.0
lossy_v2v,random,26,700,0,0,0,42.6750788924883,-486.361337884798,91,2.0
lossy_v2v,random,27,700,0,0,0,18.934055568951734,-580.0325477220208,68,2.0
lossy_v2v,random,28,700,0,0,0,37.20892271925052,-501.3083178735254,78,2.0
lossy_v2v,random,29,700,0,0,0,38.02181121354669,-504.58268527951407,97,2.0
lossy_v2v,random,30,700,0,0,0,44.0554883259303,-517.7949368159057,91,2.0
lossy_v2v,random,31,700,0,0,0,18.3751766611484,-527.9145395553694,80,2.0
lossy_v2v,random,32,700,0,0,0,35.320225213667264,-532.1550085257279,93,2.0
lossy_v2v,random,33,700,0,0,0,37.44219378863702,-496.5302700036886,97,2.0
lossy_v2v,random,34,700,0,0,0,59.79064186917001,-491.34360504719797,66,2.0
lossy_v2v,random,35,700,0,0,0,52.780461818292956,-534.4436817914815,96,2.0
lossy_v2v,random,36,700,0,0,0,49.66216308122246,-470.43813009664285,103,2.0
lossy_v2v,random,37,700,0,0,0,50.7116544865999,-478.73444903185907,84,2.0
lossy_v2v,random,38,700,0,0,0,33.1779256336584,-508.5695232763466,98,2.0
lossy_v2v,random,39,700,0,0,0,44.23021050187059,-455.6421745212736,79,2.0
lossy_v2v,random,40,700,0,0,0,40.41740989736857,-501.6041622622907,97,2.0
lossy_v2v,random,41,700,0,0,0,30.483113384912237,-482.6560161364487,62,2.0
lossy_v2v,random,42,700,0,0,0,18.72906674207793,-545.5534125662622,74,2.0
lossy_v2v,random,43,700,0,0,0,17.17570778540508,-569.4806230724166,75,2.0
lossy_v2v,random,44,700,0,0,0,22.357765254638426,-589.0876503684988,72,2.0
lossy_v2v,random,45,700,0,0,0,50.530464823117306,-499.5605070131312,85,2.0
lossy_v2v,random,46,700,0,0,0,35.58950321481504,-487.4229674964891,126,2.0
lossy_v2v,random,47,700,0,0,0,46.165464362894014,-506.9638238630056,69,2.0
lossy_v2v,random,48,199,0,1,0,11.062832928715125,-204.58727026513475,61,2.0
lossy_v2v,random,49,700,0,0,0,46.23839662523293,-487.2639025727101,84,2.0
lossy_v2v,hold,0,106,0,1,0,8.460028130688212,-70.93794261918019,36,0.0
lossy_v2v,hold,1,110,0,1,0,23.120514227899832,-45.02842985191336,43,0.1
lossy_v2v,hold,2,120,0,1,1,4.619600574550705,-99.22513429783405,43,0.1
lossy_v2v,hold,3,128,0,1,1,7.022935154535142,-101.3875765354179,43,0.1
lossy_v2v,hold,4,96,0,1,1,5.61262345196248,19.740067168282046,28,0.0
lossy_v2v,hold,5,100,0,1,0,10.099984013430385,-62.838925221272774,34,0.1
lossy_v2v,hold,6,109,0,1,1,6.876865106311254,-71.01003120039356,37,0.2
lossy_v2v,hold,7,106,0,1,0,11.448489345409445,-66.94990376966291,44,0.1
lossy_v2v,hold,8,117,0,1,0,24.846731786808522,-41.171883672771855,59,0.0
lossy_v2v,hold,9,67,1,0,1,4.01533646330255,-128.68461010436457,21,2.0
lossy_v2v,hold,10,96,0,1,0,10.848117677342753,19.751873559181625,31,0.0
lossy_v2v,hold,11,126,0,1,0,15.269251076827562,-81.3457157566761,52,0.0
lossy_v2v,hold,12,121,0,1,0,27.22784572612365,-47.231050224258524,47,0.2
lossy_v2v,hold,13,99,0,1,1,5.752559743484518,-70.79439843013523,36,0.1
lossy_v2v,hold,14,67,1,0,1,3.503956482287013,-127.70948896915183,20,2.0
lossy_v2v,hold,15,104,0,1,0,14.659620256598872,-56.903015357756374,37,0.1
lossy_v2v,hold,16,108,0,1,0,12.477088479822925,-60.98966302310289,39,0.1
lossy_v2v,hold,17,99,0,1,1,5.839834310318315,19.187046365064376,39,0.0
lossy_v2v,hold,18,114,0,1,0,18.870123902736562,-59.11483310155268,41,0.0
lossy_v2v,hold,19,114,0,1,0,22.584633615824224,-51.091973082392585,48,0.30000000000000004
