mode,policy,episode,steps,collision,arrived,near_miss,min_distance,reward
perfect_v2v,random,0,700,0,0,0,26.668926236016617,-760.8203426191819
perfect_v2v,random,1,700,0,0,0,41.30948051101807,-759.9425805627641
perfect_v2v,random,2,700,0,0,0,26.27850222647329,-814.4405336928075
perfect_v2v,random,3,700,0,0,0,37.45781673111127,-786.3663012635526
perfect_v2v,random,4,700,0,0,0,25.62339274778151,-738.2542796356702
perfect_v2v,random,5,700,0,0,0,31.824725271313707,-741.4678208563902
perfect_v2v,random,6,700,0,0,0,34.04666118097558,-751.8920358448146
perfect_v2v,random,7,700,0,0,0,29.392406680143935,-740.5327801037458
perfect_v2v,random,8,700,0,0,0,55.28245132344802,-760.1038301087979
perfect_v2v,random,9,700,0,0,0,16.026512919544093,-804.8037338545826
perfect_v2v,random,10,700,0,0,0,11.294118446848422,-805.1610346335596
perfect_v2v,random,11,700,0,0,0,39.31410421974446,-777.9440238927025
perfect_v2v,random,12,700,0,0,0,29.365296828308608,-820.682154394665
perfect_v2v,random,13,700,0,0,0,22.4625597613711,-809.647046657478
perfect_v2v,random,14,700,0,0,0,23.424610062260356,-748.7140550516493
perfect_v2v,random,15,700,0,0,0,37.242508680239155,-748.1036607390772
perfect_v2v,random,16,700,0,0,0,28.774172458466815,-762.8069310148386
perfect_v2v,random,17,700,0,0,0,35.01532525024976,-738.5331788671975
perfect_v2v,random,18,700,0,0,0,23.744240728665506,-815.369039753862
perfect_v2v,random,19,700,0,0,0,45.60785095362114,-754.5899956322953
perfect_v2v,random,20,700,0,0,0,53.69870862310063,-757.9482835379401
perfect_v2v,random,21,700,0,0,0,30.40029796791034,-786.9308693186745
perfect_v2v,random,22,700,0,0,0,39.91804964463171,-764.5658210120545
perfect_v2v,random,23,700,0,0,0,35.240851150410535,-750.8019541213345
perfect_v2v,random,24,700,0,0,0,33.28095637228238,-775.4214110842556
perfect_v2v,random,25,700,0,0,0,29.248820747543803,-794.6407031690406
perfect_v2v,random,26,700,0,0,0,17.273013792465964,-835.5031232500498
perfect_v2v,random,27,700,0,0,0,15.099931002097065,-814.0546393736086
perfect_v2v,random,28,639,0,1,0,27.62033825433099,-630.2622740544859
perfect_v2v,random,29,297,0,1,0,8.929587824348314,-343.7704141663517
perfect_v2v,random,30,700,0,0,0,30.269785914051305,-780.8495540971754
perfect_v2v,random,31,700,0,0,0,30.936300796421033,-735.2488094418367
perfect_v2v,random,32,700,0,0,0,33.23339395057277,-730.098645291835
perfect_v2v,random,33,700,0,0,0,22.202929617539315,-797.0353455215668
perfect_v2v,random,34,700,0,0,0,44.995562048932435,-758.7323864431246
perfect_v2v,random,35,700,0,0,0,36.50568138445353,-755.9273358968915
perfect_v2v,random,36,66,1,0,1,3.538955940719197,-294.38232495107616
perfect_v2v,random,37,700,0,0,0,46.2220022152386,-753.3197261521378
perfect_v2v,random,38,65,1,0,1,3.8475445236074504,-96.01434841405161
perfect_v2v,random,39,485,0,1,0,11.63435627475964,-521.730181303532
perfect_v2v,random,40,645,0,1,0,9.420349092085736,-707.3812601634475
perfect_v2v,random,41,700,0,0,0,32.25618500744586,-758.4747813658556
perfect_v2v,random,42,537,0,1,1,7.867865390055759,-506.4729633339474
perfect_v2v,random,43,62,1,0,1,4.411488216105638,-259.38017355176225
perfect_v2v,random,44,700,0,0,0,38.1976697661785,-769.0665303685003
perfect_v2v,random,45,700,0,0,0,46.89817504979526,-759.9437772846668
perfect_v2v,random,46,700,0,0,0,17.378335819082544,-768.2429104278359
perfect_v2v,random,47,700,0,0,0,43.87071781681164,-764.2691285468294
perfect_v2v,random,48,597,0,1,0,22.34980679761938,-627.523658752491
perfect_v2v,random,49,700,0,0,0,34.32541533942504,-776.5940515690239
perfect_v2v,random,50,700,0,0,0,31.65075433261629,-750.8424801530547
perfect_v2v,random,51,700,0,0,0,23.340851338082953,-745.6976118386755
perfect_v2v,random,52,700,0,0,0,37.823589078013306,-763.1569292136699
perfect_v2v,random,53,700,0,0,0,36.76557069639606,-759.8354939257248
perfect_v2v,random,54,700,0,0,0,20.04456095642075,-831.8545206587924
